name,score
Centremix C700 1TB,47696
EMTEC X410 4TB,47669
NVMe PM9C1b Samsung 1024GB,47632
WD BLACK SN7100 1TB,47630
Seagate FireCuda 530 4TB with Heatsink,47616
NEXDRIVE SSD 2TB,47582
TEAM 2TB SSD,47559
YMTC PC411-1TB-B,47546
KLEVV CRAS C930 1TB SSD,47503
Oyen Digital PCIe SSD,47480
PC SN8000S SanDisk 2048GB,47472
TEAM T-FORCE A440 Lite 2TB SSD,47457
KE680 SSD 2TB,47354
Corsair MP600 ELITE,47324
INSSD4TM2280G4AP1XHS,47292
HOGE H820 1TB,47280
FIKWOT FN955 2TB SSD,47242
WD PC SN7100S SDFPMSL-1T00-1101,47236
Micron 3500 2TB SSD,47227
Viper VP4300 2TB,47226
FLENN001TA87FC0,47215
ZHITAI TiPlus7100 2TB,47202
WPBSN4M8-2TGP,47195
XPG GAMMIX S70 BLADE 2TB,47191
CUSU CV7000 2TB,47188
MTFDKBA1T0TGD-1BK15ABHA,47176
Solidigm P44 Pro 1 TB,47134
Samsung 990 PRO PM9F1 with Heatsink 2TB SSD,47124
PNY CS2340 2TB SSD,47120
BIWIN CE980Y38900-1TB,47095
G-Storategy NV470 1TB,47068
Nextorage SSD NEM-PAB2TB,47052
WD PC SN5000S SDEQNSJ-1T00-1102,47042
XG7000-2TB,47021
HP SSD FX900 Plus M.2 1TB,46989
HP SSD FX700 4TB,46969
CT2000P310SSD8,46954
CT4000P310SSD8,46930
BIWIN AP803 2TB SSD,46897
CUSU CV7000-P 2TB,46857
SKHynix HFS001TFM9X179N,46856
SPD S700-2TD,46831
WD BLACK SN850X 1TB,46804
Lexar SSD NQ780 4TB,46776
PC SN8000S SED SanDisk 512GB,46772
Kingston Renegade 1TB SSD,46769
KingFast F17N 2TB,46713
PHD-ISM2G4-1T,46623
Lexar SSD NM790 2TB,46618
P0527 Phison 1024GB,46599
Predator SSD GM7 4TB,46592
MKNSSDVT2TB-D8,46574
T-FORCE TM8FPV004T,46546
ADATA LEGEND 970 PRO 2TB SSD,46540
ADATA LEGEND 960 4TB SSD,46531
Verbatim Vi7000 2TB SSD,46498
ZHITAI TiPlus7100 1TB,46484
CSSD-M2P2KDRV74A,46482
PNY CS3140 2TB SSD,46451
Nextorage SSD NE1N2TB,46428
ONEXPLAYER Q5 2TB,46379
SK hynix PVC10 HFS512GEM9X173N,46379
Samsung SSD 990 EVO Plus SE 2TB,46377
Phison 2TB SSD,46324
WD BLACK SN850 with Heatsink 1TB SSD,46320
Colorful CN700 2TB PRO,46317
Crucial T500 4TB SSD,46299
PM9F1 SED Samsung 512GB,46293
Nextorage SSD NN4LE-1TB2CN,46277
Acer N7000 2TB SSD,46227
PC SN5000S SDEPNSJ-2T00-1006,46219
DGST4001TP83T,46179
Seagate ZP2000GP304001,46131
Lexar SSD PLAY 4TB,46115
Predator SSD GM6 2TB,46098
Asgard AN4 Plus 2TB SSD,46096
Gamestop,46095
HFS001TEM9X174N,46088
DGSM4001TM6ET,46048
BIWIN NV7400 2TB,46043
PC SN8000S SED WD 2048GB,46026
YMTC PC411-1024GB-B,46014
Nextorage SSD NN4LE-2TB2CN,45966
GeIL P4P 1TB,45955
NVMe XG7000-4TB 2280,45896
Dell Ent NVMe P5800x WI U.2 400GB,45885
DGPST4001TP8T7,45853
PC811 SED SK hynix 1024GB,45839
MSI M480 2TB,45773
Dahua C970 PLUS M.2 2280 NVMe 1TB SSD,45769
DGSM4001TM63T,45751
Lexar SSD NM790 4TB,45750
UMIS RPEYJ1T24MML1AWQ,45747
TEAM TM8FFD002T,45675
Viper VP4300L 2TB,45674
WDC WD8002FZWX,45665
WD BLACK SN850X HS 1000GB,45645
T-FORCE TM8FFW002T,45593
Lexar SSD ARES 2TB,45579
Lexar SSD NM800PRO 1TB,45557
Micron MTFDKBA2T0TGD-2BK15ABLT,45550
FIKWOT FX991 4TB,45526
ADATA LEGEND 900 2TB SSD,45511
BIWIN NV7200 2TB,45503
ROG Strix NSD-S1F10,45475
FO-SSD-PRO2TB,45426
PC SN8000S SanDisk 1024GB,45414
T-FORCE TM8FPV002T,45405
HIKSEMI HS FUTURE Lite 2TB,45341
imation M.2 PCIe 1TB SSD Z991,45310
KIOXIA GX8 4TB SSD,45270
HIKSEMI HS FUTURE 1TB,45242
PCIe-411-1TB-B,45235
FIKWOT FN955 2TB,45207
MSI M480 PRO 1TB,45180
XPG GAMMIX S70Q,45172
MTFDKBA1T0QGN-1BN1AABGA,45153
Sandisk PC SN5000S SDEPNSJ-1T00-1132,45138
PELAND,45117
Seagate FireCuda 530 4TB,45110
Seagate ZP1000GM30053,45066
Fanxiang S770 2TB,45065
ADATA LEGEND 900 PRO 2TB SSD,45063
KXG8AZNV1T02 NVMe SED KIOXIA 1024GB,45055
Aigo P7000Z 2TB SSD,45043
Lexar NQ790 4TB SSD,45027
Viper VP4300L 4TB,45012
Lexar SSD NQ780 2TB,44974
Predator SSD GM7 M.2 1TB,44966
Nextorage SSD NEM-PA4TB,44965
WD PC SN7100S SDFQNSL-1T00-1001,44871
CSSD-M2M2TPG4NZL,44821
Predator SSD GM7 M.2 2TB,44809
PSEIN004TA87MC0,44800
Phison 1TB ESR01TBTLCZ-27J-2MS,44770
ZHITAI Ti600 2TB,44763
WD PC SN7100S SDFQNSL-1T00-2001,44757
Solidigm P44 Pro 2TB SSD,44704
SK Hynix Platinum P41 2TB SSD,44679
Crucial T500 2TB SSD,44670
HP SSD FX900 Pro 2TB,44657
TIMETEC Pro 1TB SSD with Heatsink,44642
EDILOCA EN855 1TB,44619
ADATA LEGEND 960 2TB SSD,44618
JUHOR J5000 512GB NVMe M.2,44609
NVMe TEAM TM8FFD001T,44585
WD PC SN5000S SDEQNSJ-2T00-1002,44560
Predator SSD GM7 M.2 4TB,44550
EDILOCA EN870 2TB SSD,44536
Hanye HE70-2TBNHS1,44520
E27-2TB-PHISON-SSD-V7QLC,44459
Kingston FURY Renegade 1TB SSD,44448
SK hynix PC811 1024GB,44406
YMTC YMSS2ED08D25MC,44397
CSSD-M2P1KDRV74A,44384
Lexar SSD NM790 1TB,44369
FIKWOT FN955 1TB,44333
TEAM TM8FPW001T,44329
KINGSTON SFYRD20,44326
CT1000P310SSD8,44320
WD Blue SN5100 1TB,44313
HP SSD FX900 Plus 4TB,44282
YMTC PC411-2TB-B,44279
Transcend TS2TMTE250S,44252
Micron 2650 1TB SSD,44214
Micron 2500 2TB SSD,44213
Lexar NQ790 2TB SSD,44184
PC SN8000S SED WD 512GB,44177
SSDPR-PX700-02T-80,44177
SKHynix HFS001TEM4X182N,44171
RPEYJ1T24MML1AWX,44168
Seagate FireCuda 530 ZP2000GM30023,44154
SSDPR-PX700-01T-80,44149
PNY CS2340 1TB SSD,44112
WD PC SN7100S SDFQNSL-512G-1001,44111
KINGSTON KC3000 1TB,44084
Micron 2500 1TB SSD,44048
KLEVV CRAS C925 M.2 NVMe SSD 2TB,44037
MTFDKBA2T0TGD-1BK1AABHA,44028
SSD M.2 PCIe4 4TB InnovationIT Y,44013
NVMe CSSD-M2L1KSFT6KE 1024GB,44004
X16S SSD 2TB,43994
Micron 3500 MTFDKBA2T0TGD-1BK1AABYY,43982
Fantom VENOM8 2TB SSD,43958
SKHynix HFS002TEJ9X162N,43952
E18-1TB-PHISON-SSD-B47R,43938
FO-SSD-PRO1TB,43937
KINGSTON SFYRSK1000G,43924
Micron 3500 2TB,43915
TEAM TM8FFD001T,43909
Transcend 250H 2TB SSD,43894
KLEVV CRAS C930 2TB SSD,43835
SOLIDIGM SSDPFKKW010X7,43816
Micron 3500 1TB SSD,43788
MTFDKBA1T0TGD-1BK1AABGA,43781
